,0
koi_period,6.877446033
koi_period_err1,1.872e-05
koi_period_err2,-1.872e-05
koi_time0bk,135.62306
koi_time0bk_err1,0.00286
koi_time0bk_err2,-0.00286
koi_time0,2454968.623
koi_time0_err1,0.00286
koi_time0_err2,-0.00286
koi_impact,0.6046
koi_impact_err1,0.182
koi_impact_err2,-0.181
koi_duration,3.7535
koi_duration_err1,0.101
koi_duration_err2,-0.101
koi_depth,505.6
koi_depth_err1,17.8
koi_depth_err2,-17.8
koi_ror,0.024125
koi_ror_err1,0.001094
koi_ror_err2,-0.001159
koi_srho,0.75629
koi_srho_err1,0.28946
koi_srho_err2,-0.1374
koi_prad,2.59
koi_prad_err1,0.51
koi_prad_err2,-0.34
koi_sma,0.0692
koi_incl,87.81
koi_teq,968.0
koi_insol,207.45
koi_insol_err1,109.12
koi_insol_err2,-60.81
koi_dor,11.479
koi_dor_err1,1.9
koi_dor_err2,-1.9
koi_ldm_coeff2,0.2711
koi_ldm_coeff1,0.3913
koi_max_sngle_ev,6.1683164
koi_max_mult_ev,23.79851
koi_model_snr,33.4
koi_num_transits,162.0
koi_steff,5750.0
koi_steff_err1,156.0
koi_steff_err2,-159.0
koi_slogg,4.447
koi_slogg_err1,0.07
koi_slogg_err2,-0.12
koi_smet,-0.1
koi_smet_err1,0.25
koi_smet_err2,-0.3
koi_srad,0.985
koi_srad_err1,0.231
koi_srad_err2,-0.108
koi_smass,0.963
koi_smass_err1,0.101
koi_smass_err2,-0.093
ra,292.5015
dec,43.677078
koi_kepmag,14.554
koi_gmag,15.113
koi_rmag,14.507
koi_imag,14.309
koi_jmag,13.243
koi_hmag,12.843
koi_kmag,12.75
koi_fwm_sra,19.499986
koi_fwm_sra_err,1e-05
koi_fwm_sdec,43.67625
koi_fwm_sdec_err,0.00011
koi_fwm_srao,0.0
koi_fwm_srao_err,0.41
koi_fwm_sdeco,-0.0285
koi_fwm_sdeco_err,0.41
